smile,Tm/K,Tb/K,density/(g/cm3),flash_point/K,NHOC/(MJ/kg),Isp/s
C1CC1,240.34999999999997,145.74999999999997,1.1358,162.6,46.02605012,347.0892958
C1CCC1,193.14999999999998,286.22999999999996,0.7125,204.239,45.29111822,344.307029
C1CCCC1,179.24999999999997,322.34999999999997,0.7457,236.141,43.8542456,338.8013947
C1C2CC12,137.227,280.95,1.04,198.942,45.7368123,352.7707331
C1CCCCC1,279.62,353.84999999999997,0.7781,262.257,43.56919109,337.6984876
C1C2CC1C2,167.115,322.25,0.976,232.623,45.4199175,350.1240685
C1CC12CC2,407.75,312.15,0.7551,217.602,44.95813543,348.3396743
C1CC2CC12,298.15,318.65,0.976,232.623,48.38893471,361.386418
C1CCCCCC1,261.15,391.63,0.8098,284.51,43.8814319,338.906394
C12C3C1C23,151.438,282.45,1.576,192.847,48.41899966,370.9547932
C1CC2CC1C2,294.95,344.04999999999995,0.939,259.812,43.71213558,342.5690286
C1CC2CC2C1,191.954,351.15,0.8178,259.812,43.50629711,341.7615057
C1CC2CCC12,191.954,347.493,0.827,259.812,44.372141334783436,345.14554938983423
C1CCCCCCC1,287.95,422.15,0.891,303.985,44.03015628,339.4802245
C1C23CC12C3,116.733,343.04999999999995,1.2,194.122,45.36584309,355.8441067
C1C2C3C1C23,178.819,318.75,1.302,228.58,45.63387717,356.8937718
C1CC2CCC1C2,360.65,378.45,0.914,282.769,42.79010333,338.3036476
C1CC2CCC2C1,213.206,382.15,0.8522,282.769,43.41600922,340.7689085
C1CCC2CC2C1,298.15,389.65,0.8576,282.769,44.53364568,345.1271599
C1CCCCCCCC1,282.84999999999997,342.15,0.8534,321.359,44.15173473,339.948597
C1C2C1C1CC21,201.903,351.65,1.169,256.987,44.04492141,348.6056804
C1C2CC3C1C23,201.903,339.187,0.909,256.987,44.22131820437289,349.30305344819726
C1CC2(C1)CC2,166.74,343.15,0.855,247.752,44.37382815,345.1521097
C1CC2C3C1C23,201.903,339.15,1.169,256.987,43.50390791,346.4580649
C1CC2CCC1CC2,442.15,413.65,0.896,302.733,42.74619491,337.6605904
C1CC2CCCC2C1,243.14999999999998,405.15,0.896,302.733,43.01830131,338.7335965
C1CCC2CC2CC1,231.777,416.15,0.896,302.733,43.59868861,341.0109762
C1CCC2CCC2C1,231.777,409.15,0.8573,302.733,43.32379589,339.9342275
C1CCCCCCCCC1,283.15,475.15,0.8577,337.08,44.12068686,339.8290486
C12C3C4C1C234,164.016,340.54999999999995,1.68,206.866,46.22789668,365.9162456
C1C2CC1C1CC21,221.858,378.15,1.091,280.735,43.79787611,346.2334076
C1C2CC2C2CC12,221.858,378.15,0.89,280.735,43.25342409,344.0746615
C1C2CC3C1C3C2,329.15,379.15,1.091,280.735,42.21293374,339.9109948
C1C2CC3CC1C23,221.858,375.897,0.963,280.735,43.78865047363757,346.1969401147025
C1CC12CC21CC1,178.125,399.15,1.06,258.656,44.48346086,348.9327465
C1CC2(C1)CCC2,191.637,369.15,0.9,272.684,44.1492608,343.6344776
C1CC23CC1C2C3,201.607,402.75,1.29,270.196,45.05278032,351.158547
C1CC2C1C1CC21,221.858,375.897,0.963,280.735,44.24262992350766,347.98691350766023
C1CC2C1C21CC1,201.607,390.75,1.05,270.196,44.24362772,347.9908375
C1CC2C3CC1C23,221.858,381.84999999999997,1.091,280.735,43.12975594,343.5824284
C1CC2C3CC23C1,201.607,390.75,1.05,270.196,43.71297235,345.8976518
C1CC2C3CC2C13,221.858,381.84999999999997,1.091,280.735,43.5551387,345.2726238
C1CC2CC(C1)C2,321.15,383.15,0.914,282.769,43.47255005,340.9907286
C1CC2CC23CC13,201.607,390.75,1.05,270.196,43.84241001,346.4093887
C1CCC2(C1)CC2,191.637,375.15,0.8378,272.684,43.48425114,341.0366162
C1CCC2CCC2CC1,248.269,439.65,0.882,320.459,43.52173801,340.3445488
C1CCC2CCCC2C1,220.14999999999998,440.15,0.879,320.459,42.85304705,337.7198112
C1CCCC2CC2CC1,248.269,316.15,0.882,320.459,43.88436021,341.7594794
C1CCCCCCCCCC1,265.84999999999997,378.25,0.8591,351.466,44.12851916,339.8592105
